Category,Brand,Ttile,SKU Code,SKU Length,MRP,Case Pack,HSN,GST%,EAN/UPC,ASIN,FSN,BB ID,Blinkit ID,Swiggy ID,Zepto ID,Jiomart Id,Super daily,Margin to RK (ASP),Margin to CRPL (ASP),Margin to Blinkit (MRP),Margin to Swiggy (MRP),Margin to Dunzo (MRP),Margin to Bigbasket (MRP),Margin to Zepto (MRP),Margin to FK Grocery (MRP),Margin to RK Fresh (ASP)
Plain Napkins,Origami,"Napkin Pack 6, 100 Pulls, 1 Ply",NAP6P100P1,10,510,10,48182000,18%,8906004861970,B09RGYLM9J,FLTGBYZZH9WA5HWH,-,10001561,-,-,590308636,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Plain Napkins,Origami,"Napkin Pack 6, 100 Pulls, 1 Ply (Table Top)",TNAP6P100P1,11,510,5,48182000,18%,8906004863578,B07MQ8N7HH,FLTGBYNFDF6GWKQX NAPGA38VXFANAYDH,40000648,-,,-,590309860,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Plain Napkins,Origami,"Napkin Pack 3, 100 Pulls, 1 Ply (Table Top)",,0,540,,48182000,18%,,-,NAPGYFYSNYHPRYHS,-,,,,-,,,,,,,,,,
Plain Napkins,Origami,"Napkin Pack 6, 50 Pulls, 2 Ply",NA6P50P2,8,520,8,48182000,18%,8906004862038,B00W16IZLC,NAPGA37ZHPYVERWR,269398,-,1871,-,590308637,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Plain Napkins,Origami,Origami 1 Ply Tissue Paper Napkins - Pack of 1 (100 Sheets),,,510,6,48182000,18%,,B00XHCCFNI,,,,,,,,,,,,,,,,
Box Facial Tissues,Origami,"Box Facial Tissues Pack of 3, 200 Pulls, 2 Ply Assorted",FTP3P200P2,10,555,10,48182000,18%,8906004863073,B00W1EGH28,NAPFXVT9EH8F7CMY,267639,-,1857,-,590309861,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Box Facial Tissues,Origami,"Box Facial Tissues Pack of 3, 200 Pulls, 2 Ply Assorted",3073,4,555,10,48182000,18%,8906004863073,B00W1EGH28,FLTFJE9PGRP9BMS8,,,,,,,,,,,,,,,
Box Facial Tissues,Origami,"Box Facial Tissues Pack of 4, 200 Pulls, 2 Ply",FTP4P200P2,10,740,10,48182000,18%,8906004863073,B01NAX957U,NAPFXVT9GFNUSMXA,-,-,-,-,590309861,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Box Facial Tissues,Origami,"Box Facial Tissues Pack of 6, 100 Pulls, 2 Ply",FTP6P100P2,10,600,8,48182000,18%,8906004863080,B017AZRW76,FLTG9YPXCQZ8M8ZE,40000653,-,3250,-,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Box Facial Tissues,Origami,"Box Facial Tissues Pack of 4, 100 Pulls, 3 Ply",FTP4P100P3,10,600,7,48182000,18%,8906004865671,B07DXFF8P6,FLTG9YPXXWYJPT2P,-,-,-,-,600636810,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Box Facial Tissues,Origami,"Box Facial Tissues Pack of 4, 100 Pulls, 1 Ply (Inter folded Towel)",FTP4P100P1,10,340,10,48182000,18%,8906004866913,B08MXVRMBP,FLTGPK34GH42QGZH,-,-,,-,590309859,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Non-Woven Kitchen Towel Rolls,Origami,"Non Woven Kitchen Rolls Pack of 2, 80 Pulls",NKRP2P80P1,10,440,18,56031200,12%,8906004864155,B00W1SO1A4,KNRFS8X6UBQKPGG5,-,-,-,-,590308643,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Non-Woven Kitchen Towel Rolls,Origami,"Non Woven Kitchen Rolls Pack of 3, 80 Pulls",NKRP3P80P1,10,660,18,56031200,12%,8906004864155,B0785N5DV2,KNRFPXHZD2P5WCKS,-,-,-,-,590308643,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Non-Woven Kitchen Towel Rolls,Origami,"Non Woven Kitchen Rolls Pack of 3, 80 Pulls",KT-NW-80W-PK3-OS2,17,660,18,56031200,12%,8906004864155,B0785N5DV2,KNRFTHPXEFZREGGH,,,,,,,,,,,,,,,
Non-Woven Kitchen Towel Rolls,Origami,"Non Woven Kitchen Rolls Pack of 3, 80 Pulls",NW_Pk_6_FBA,11,1125,,,,,,,,,,,,,,,,,,,,,
Pocket Tissues,Origami,"Pocket Tissues Pack of 20, 10 Pulls Each, 3 Ply",PTP20P10P3,10,270,6,48181000,18%,8906004863752,B00W1SOA0U,FLTGPK3DD6VFDJRB,-,-,-,-,590309862,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Pocket Tissues,Origami,"Pocket Tissues Pack of 20, 10 Pulls Each, 3 Ply",SSPT10IN1010P3P_AZ  ,,,,,,,,,,,,,,,,,,,,,,,
Pocket Tissues,Origami,"Pocket Tissues Pack of 30, 10 Pulls Each, 3 Ply",PTP30P10P3,10,405,6,48181000,18%,8906004863752,B00WB84VO0,NAPFXVSXXZX3M7FY,-,-,-,-,590309862,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Toilet Tissue Rolls,Origami,"Toilet Roll Pack of 12, 140 Pulls, 3 Ply",TRP12P140P3,11,459,8,48181000,18%,8906004869037/8906004860140,B0C595MMWG,TPOGPM7MV9UETDNA,-,-,-,-,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Toilet Tissue Rolls,Origami,"Toilet Roll Pack of 24, 140 Pulls, 3 Ply",TRP24P140P3,11,899,4,48181000,18%,8906004860157,B0C598X35L,TPOGPM7RVXN2E9VR,-,-,-,-,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Kitchen Towel Rolls,Origami,"Kitchen Rolls Pack of 6, 60 Pulls, 2 Ply",KRP6P60P2-P,11,499,8,48181000,18%,8906004860164,B0C5CLJSVD,KNRGPK3ZAVKQZVCB,-,-,80087,-,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Kitchen Towel Rolls,Origami,"Kitchen Rolls Pack of 12, 60 Pulls, 2 Ply",KRP12P60P2,10,999,4,48181000,18%,8906004860171,B0C9JJJN2Z,KNRGPM83H4HKUG62,-,-,-,-,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
